Am I allowed to rent a student apartment when I am no longer a student,"Students are not allowed to rent a student apartment after they have been unsubscribed from being a student. The validity of your contract is linked to your rental registration at your educational institute. When unregistered, your rental contract also ends. (article 7:274, section 4 BW)"
How do I end a rental contract,"If you want to cancel the rent as a tenant, you can do this through a signed letter to the landlord, stating that you want to end the rental agreement. Another option is to summon your landlord (with a letter from a process-server)."
How do I end a temporary rental contract,"In case of a temporary rental agreement, the tenant needs to complete the agreed upon rental period."
When can I cancel a rent,"Unless differently stated in the rental agreement, the cancellation of the rent needs to be done before the first day of the month."
How long can the rent notice be,"Normally, the notice equals the term of payment, which has been written down in the contract. The notice can have a timespan of one to three months maximum."
Who is responsible for big maintenance,"When it comes to big maintenance of a rental, the responsibility lies with the landlord. For example, he or she is responsible for taking care of repairing damages such as leakage, for maintenance of frames, replacing locks and doors of renovation of the facades. But also reparations such as replacing a broken heater, showerhead or toilet seat are for the landlord’s account."
Who is responsible for small maintenance,"Small and daily maintenance, along with the repair of damages that you caused yourself, are on your account as the tenant. If the landlord also takes care of these small daily repairs, he or she is allowed to charge you in the form of service costs. However, this is only the case when you and your landlord discussed and agreed on this explicitly."
Who is responsible for damages,"The repair of damages that you caused yourself, are on your account as the tenant"
Can the landlord charge me for big repairs,"No. When it comes to big maintenance of a rental, the responsibility lies with the landlord."
Can the landlord charge me for small repairs,"If the landlord takes care of small daily repairs, he or she is allowed to charge you in the form of service costs. However, this is only the case when you and your landlord discussed and agreed on this explicitly."
I have a dispute about the maintenance of my apartment,"In case there is a dispute over the maintenance of the rented living space, then you can (as a tenant) consult the municipal department of Construction- and living supervision. The municipality will (if your complaint is considered valid) send a letter to the landlord, stating a request to still carry out the repairs. If your landlord does not respond, the municipality can decide to carry out the repairs themselves, and hold the landlord accountable for the costs. "
Can the landlord enter my apartment,A landlord always preserves the right to access to the accommodation. It is not allowed for the tenant to deny the landlord access to the accommodation. A landlord can only enter a rented space when he or she has a reason for it that is part of the so-called ‘landlord’s rights and duties’.
Can the landlord enter my apartment unannounced,"A landlord cannot enter the accommodation unannounced. He or she is obliged to first knock or ring the doorbell, and wait until the door is opened."
Is the landlord allowed to visit without reason,"A landlord is not allowed to visit the tenant at any given time. When the landlord wants to visit the accommodation, he or she needs to have clear and well-formulated reasons to do so"
Can the landlord change the locks,"A landlord can always decide to change the locks. However, he or she is always obliged to make sure that the tenants have access to the actual rented space."
What privacy rules are applied to public spaces with different tanants,Privacy rules also apply to public spaces with different tenants. This means that a tenant is also not allowed to enter a public area unannounced.
Is the landlord allowed to ask for key money,Key money means charging money for receiving the key to a rented living space. Asking for key money is not permitted!
What is a campus contract,"A campus contract is a rental agreement that is directly linked to a registration at an educational institution. This means that when you unsubscribe yourself at this educational instruction, your rental agreement will end as well. You can only speak of a campus contract when the contract explicitly states that the living space will be rented out again to another student after termination of the contract. If this clause cannot be found in the contract, then there is (technically speaking) no campus contract. In that case, a landlord cannot use the lack of proof of registration as a legitimate reason to end the rental agreement."
Can the landlord ask for a proof of enrolment for a campus contract,"In case of a campus contract, the landlord is allowed to annually check if the tenant is still enrolled at the educational institution. The landlord is hereby allowed to ask for a proof of enrolment. (article 7:274, section 4 BW)"
How much time do I have to deliver proof of enrolment for a campus contract,"In case of a campus contract, the tenant always has a maximum of 3 months to hand over the proof of enrolment, starting from the moment that the landlord requests it. (article 7:274, section 4 BW)"
What happens if i cannot show proof of enrolment for a campus contract,"In case of a campus contract, If you cannot show any proof of enrolment as a tenant, then the landlord has the right to end the contract. In this case, the landlord has to stick to the legal notice. Depending on the duration of your stay, this notice can vary from a three to six months maximum. (article 7:274, section 4 BW)"
Can I take my landlord to court for maintenance disputes,"You can present the dispute to a judge. If the judge agrees with you, then the landlord can be forced in a number of ways to still fulfil his of her duties:
- The landlord can be asked to disband one part of the contract. In this case it means that the landlord is only allowed to receive a part, or no rent for as long a she or she has not fulfilled the duties related to maintenance and/or repairs.
- The landlord can be given a penalty when he or she does not abide.
- The tenant can receive an authorisation to carry out the maintenance or repairs, or to hire someone for them. The costs can then be passed on to the landlord. The tenant and landlord can (in consultation with the judge) come to an agreement to compensate the costs with the rent."
What can I do if the landlord ends my contract and i disagree,"When your landlord ends the rental agreement and you disagree with this decision, you are allowed to object. In which case, the landlord is obliged to take the matter to court. This is part of the rental protection, which is part of the rent act."
Can the landlord cancel an ongoing rental contract,"The ongoing rental contract (even in the case of a temporary rental agreement) is not allowed to be cancelled, before the judge has given a verdict on the case. NB: in some cases this rule can be deviated from, for example, in the case of “urgent self usage” from the landlord."
Can i appeal a verdict from a regular judge,"Do you disagree, as a tenant, with the final verdict of the judge? Then you can also file an appeal. Also in this case, the rental agreement will last until a verdict is given.
When filing an appeal after the verdict from a regular judge, make sure to do this in time. If you wait too long and exceed the deadline for filing an appeal, the given verdict becomes irreversible. In case the given verdict was not in favour of you as a tenant, then the landlord can order you to leave the rental space from that moment on."
Can the landlord increase my rent,"A landlord is allowed to increase the rent of a rented-out accommodation, on the condition that he or she meets the legal requirements for rentals. In these rules, the following is included:

A tenant needs to be informed in writing by the landlord about the proposed rent increase.
The rent increase is never allowed to exceed the legally established maximum rate. The legally permitted maximum rate is determined every year.
The landlord must inform the tenant about the proposed rent increase in writing, at least two months before the new rent starts.
In the written announcement, the rent increase as well as the current and the new rent should be mentioned. It should also state the exact rate increase.
The date on which the new rent starts should be clearly stated.
As a tenant you should always be given the opportunity to object to the proposed rent increase. Therefor, the letter should always clearly state within which amount of time you, as a tenant, are allowed to object."
When can a landlord end the rental agreement,"In some cases, a landlord can decide to cancel the rental agreement. The terms on which a landlord can do this are written down in the rental law:

- The landlord can prove that the tenant has been behaving inappropriately.
- It concerns a temporary rental agreement. In that case, the landlord can officially end the contract to prevent that the rental agreement is being silently continued.
- It can occur that the landlord urgently needs the rented space for personal use. When the landlord cannot prove that there is enough additional living space at hand, then the landlord is obliged to offer the tenant a suitable substitute living space.
- The landlord has given a reasonable proposal for a new rental agreement. When the tenant does not accept the offer, then the landlord is allowed to end the agreement.
- Because of a valid development plan it is necessary that the rented living space becomes vacant again.
- In case a landlord has his or her main property in the same building where he or she rents out rooms, then the so-called “substantial interests of the landlord of rooms” can be a valid reason to end the rental agreement."
Is there a limit the the ammount my rent increases,The rent increase is never allowed to exceed the legally established maximum rate. The legally permitted maximum rate is determined every year.
What if i disagree with a proposed rent increase,"When you do not agree on the proposed rent increase, you can make this known to your landlord by handing him or her an objection letter within the given period to object. In return, your landlord has to indicate if he or she is willing to consider your objection. In case the landlord decides to not consider your objection, he or she can still demand the rent increase in court. During this process, a landlord is not allowed to remove you from your home."
